종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'062970,한국첨단소재,"3,575",↑,"825","30.00%","17,377","16.83%"
'010170,대한광통신,"12,740",▲,"2,620","25.89%","947,056","36.99%"
'100590,머큐리,"6,100",▲,"920","17.76%","39,306","12.55%"
'327260,RF머트리얼즈,"76,400",▲,"7,500","10.89%","26,029","12.35%"
'115440,우리넷,"11,250",▲,"640","6.03%","13,993","-18.42%"
'043260,성호전자,"45,950",▲,"1,950","4.43%","56,585","-0.33%"
'217590,티엠씨,"20,450",▲,"650","3.28%","10,361","-1.68%"
'218410,RFHIC,"89,000",▲,"2,600","3.01%","68,622","8.01%"
'069540,빛과전자,"3,250",▲,"65","2.04%","80,841","3.50%"
'389020,자람테크놀로지,"49,250",▲,"950","1.97%","7,780","-7.60%"
'006260,LS,"268,000",▲,"3,500","1.32%","25,454","0%"
'388790,라이콤,"5,340",▼,"-60","-1.11%","9,053","4.09%"
'368770,파이버프로,"23,000",▼,"-550","-2.34%","49,268","9.00%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
